postal_code,cluster_labels,geocode_lat,geocode_lng,address,num_sqft,rent,num_bathrooms,price_per_sqft,metro_station,train_station,bus_station,bus_stop,shopping_mall,shopping_plaza,grocery_store
M3H,3,43.7346328,-79.4463183,"525 Wilson Avenue, Toronto",600.0,1800.0,1.0,3.0,308,6633,1039,3989,1142,12171,9713
M3J,0,43.7506185,-79.46388396218887,"1060 Sheppard Avenue West, Toronto",650.0,1950.0,1.5,3.0,179,6889,198,6108,2938,12014,1595
M3J,0,43.7506185,-79.46388396218887,"1060 Sheppard Avenue West, Toronto",650.0,1950.0,1.5,3.0,179,6889,198,6108,2938,12014,1595
M3J,0,43.7506185,-79.46388396218887,"1060 Sheppard Avenue West, Toronto",650.0,1950.0,1.5,3.0,179,6889,198,6108,2938,12014,1595
M3M,3,43.725954616297024,-79.47982799364931,"115 George Appleton Way, Toronto",599.0,1959.0,1.0,3.2704507512520866,2575,3948,2498,3222,2180,14760,10762
M4A,3,43.72638499999999,-79.31282904307693,"1700 Eglinton Avenue East, Toronto",650.0,1950.0,1.0,3.0,10561,10745,4439,4813,9684,10245,1831
M4A,3,43.72638499999999,-79.31282904307693,"1700 Eglinton Avenue East, Toronto",650.0,2100.0,1.0,3.230769230769231,10561,10745,4439,4813,9684,10245,1831
M4A,3,43.72638499999999,-79.31282904307693,"1700 Eglinton Avenue East, Toronto",650.0,2100.0,1.0,3.230769230769231,10561,10745,4439,4813,9684,10245,1831
M4E,3,43.67991266,-79.29042504,"353 Beech Avenue, Toronto",800.0,3000.0,1.0,3.75,8230,8454,1952,1611,7797,15710,7463
M4L,3,43.6676414,-79.3255214,"Billings Avenue, Toronto",672.0,2300.0,1.0,3.4226190476190474,5095,5319,2332,961,4675,16534,4409
M4M,0,43.6605150923077,-79.34189044615384,"899 Queen Street East, Toronto",680.0,2200.0,1.0,3.235294117647059,3558,3781,2192,1915,3193,17258,3048
M4P,3,43.706852,-79.398212,"8 Eglinton Avenue East, Toronto",600.0,2150.0,2.0,3.5833333333333335,7010,7060,4286,3149,4852,12847,5223
M4P,3,43.706852,-79.398212,"8 Eglinton Avenue East, Toronto",466.0,1900.0,1.0,4.07725321888412,7010,7060,4286,3149,4852,12847,5223
M4P,3,43.70882072972973,-79.39404489189188,"161 Roehampton Avenue, Toronto",499.0,1850.0,1.0,3.7074148296593186,7167,7228,4140,3531,5073,12531,5351
M4P,3,43.708105,-79.398479,"30 Roehampton Avenue, Toronto",600.0,2150.0,2.0,3.5833333333333335,7151,7201,4145,3167,4774,12723,5363
M4P,3,43.706852,-79.398212,"8 Eglinton Avenue East, Toronto",600.0,2200.0,2.0,3.6666666666666665,7010,7060,4286,3149,4852,12847,5223
M4P,3,43.706852,-79.398212,"8 Eglinton Avenue East, Toronto",500.0,1800.0,1.0,3.6,7010,7060,4286,3149,4852,12847,5223
M4P,3,43.706852,-79.398212,"8 Eglinton Avenue East, Toronto",620.0,2350.0,2.0,3.7903225806451615,7010,7060,4286,3149,4852,12847,5223
M4P,3,43.70882072972973,-79.39404489189188,"161 Roehampton Avenue, Toronto",500.0,1750.0,1.0,3.5,7167,7228,4140,3531,5073,12531,5351
M4P,3,43.708456350000006,-79.39205924025205,"212 Eglinton Avenue East, Toronto",742.0,2400.0,1.0,3.234501347708895,7105,7170,4222,3673,5236,12519,5279
